q,h,tau,alpha,falpha,intercept_fit,r2_fit
-10.0,0.6873788973222162,-7.873788973222163,0.7489663117769414,0.3841258554527487,-1.9213934110800965,0.9935215137192034
-9.0,0.6805358512716913,-7.124822661445221,0.7437506967894731,0.4310663903399634,-1.8883369091678823,0.9943815797555696
-8.0,0.673285947455402,-6.386287579643216,0.732028019603066,0.5300634228186887,-1.8520000684679152,0.9953233120314927
-7.0,0.6658238031770127,-5.660766622239089,0.717837764788146,0.6359022687220675,-1.8123917244487082,0.9962965899995205
-6.0,0.6584353416778207,-4.950612050066924,0.7017052914615762,0.740380301297467,-1.7694964244771143,0.9972377429223502
-5.0,0.6514712078631875,-4.257356039315937,0.6846183016806893,0.8342645309124905,-1.7229043842969503,0.9980867483261749
-4.0,0.6453438616763865,-3.581375446705546,0.6674116961854608,0.9117286619637026,-1.671103742188118,0.9987955211884345
-3.0,0.6408442156483385,-2.9225326469450152,0.649406331821007,0.9743136514819941,-1.61056453776084,0.9993148789599507
-2.0,0.6412813915317659,-2.2825627830635318,0.6297023889908251,1.0231580050818816,-1.536824280002776,0.9995458135284588
-1.0,0.663127868963365,-1.663127868963365,0.6412813915317659,1.0218464774315992,-1.4646353249256794,0.9986263565597469
0.0,0.7390321014749199,-1.0,0.7342778329746739,1.0,-1.4624865160981957,0.9903804439074655
1.0,0.8054277969859827,-0.19457220301401734,0.828407409402492,1.0229796124165094,-1.4528471729167889,0.9800084506821444
2.0,0.828407409402492,0.656814818804984,0.8546470810411076,1.0524793432772312,-1.4023493672854963,0.9754675869850792
3.0,0.8382406530227327,1.514721959068198,0.8584779898065071,1.0607120103513235,-1.3592356327480333,0.9722986801990025
4.0,0.8434426996044996,2.3737707984179983,0.8565467455202795,1.0524161836631198,-1.3232782372480565,0.9697750821218417
5.0,0.8455630900217513,3.227815450108757,0.8491621035526629,1.0179950676545575,-1.2896374965560289,0.9677475518213283
6.0,0.8453491675872207,4.072095005523324,0.8382666008584865,0.9575045996275948,-1.2566981778420814,0.9659991690872473
7.0,0.8434783788322472,4.90434865182573,0.8261679554175418,0.8788270360970625,-1.2245252763327474,0.964379217148906
8.0,0.840553864544801,5.724430916358408,0.8145530207035243,0.7919932492697868,-1.1936733416038547,0.962828342125621
9.0,0.8370505214703088,6.533454693232779,0.804300282034454,0.7052478450773076,-1.164649988306195,0.9613405688557328
10.0,0.8333031480427316,7.333031480427316,0.7995767871945372,0.662736391518056,-1.1377518320427797,0.9599282598257206
