time,value
1900-01-05 00:00:00+00:00,2.0
1900-01-12 00:00:00+00:00,0.0
1900-01-19 00:00:00+00:00,1.0
1900-01-26 00:00:00+00:00,1.0
1900-02-02 00:00:00+00:00,0.0
1900-02-09 00:00:00+00:00,0.0
1900-02-16 00:00:00+00:00,0.0
1900-02-23 00:00:00+00:00,0.0
1900-03-02 00:00:00+00:00,0.0
1900-03-09 00:00:00+00:00,0.0
1900-03-16 00:00:00+00:00,0.0
1900-03-23 00:00:00+00:00,0.0
1900-03-30 00:00:00+00:00,0.0
1900-04-06 00:00:00+00:00,0.0
1900-04-13 00:00:00+00:00,0.0
1900-04-20 00:00:00+00:00,0.0
1900-04-27 00:00:00+00:00,1.0
1900-05-04 00:00:00+00:00,0.0
1900-05-11 00:00:00+00:00,1.0
1900-05-18 00:00:00+00:00,0.0
1900-05-25 00:00:00+00:00,0.0
1900-06-01 00:00:00+00:00,0.0
1900-06-08 00:00:00+00:00,0.0
1900-06-15 00:00:00+00:00,1.0
1900-06-22 00:00:00+00:00,0.0
1900-06-29 00:00:00+00:00,0.0
1900-07-06 00:00:00+00:00,0.0
1900-07-13 00:00:00+00:00,0.0
1900-07-20 00:00:00+00:00,0.0
1900-07-27 00:00:00+00:00,2.0
1900-08-03 00:00:00+00:00,0.0
1900-08-10 00:00:00+00:00,0.0
1900-08-17 00:00:00+00:00,0.0
1900-08-24 00:00:00+00:00,0.0
1900-08-31 00:00:00+00:00,0.0
1900-09-07 00:00:00+00:00,0.0
1900-09-14 00:00:00+00:00,1.0
1900-09-21 00:00:00+00:00,0.0
1900-09-28 00:00:00+00:00,0.0
1900-10-05 00:00:00+00:00,1.0
1900-10-12 00:00:00+00:00,0.0
1900-10-19 00:00:00+00:00,0.0
1900-10-26 00:00:00+00:00,1.0
1900-11-02 00:00:00+00:00,0.0
1900-11-09 00:00:00+00:00,1.0
1900-11-16 00:00:00+00:00,0.0
1900-11-23 00:00:00+00:00,1.0
1900-11-30 00:00:00+00:00,0.0
1900-12-07 00:00:00+00:00,0.0
1900-12-14 00:00:00+00:00,0.0
1900-12-21 00:00:00+00:00,1.0
1900-12-28 00:00:00+00:00,0.0
1901-01-04 00:00:00+00:00,1.0
1901-01-11 00:00:00+00:00,0.0
1901-01-18 00:00:00+00:00,1.0
1901-01-25 00:00:00+00:00,0.0
1901-02-01 00:00:00+00:00,0.0
1901-02-08 00:00:00+00:00,0.0
1901-02-15 00:00:00+00:00,0.0
1901-02-22 00:00:00+00:00,0.0
1901-03-01 00:00:00+00:00,1.0
1901-03-08 00:00:00+00:00,0.0
1901-03-15 00:00:00+00:00,0.0
1901-03-22 00:00:00+00:00,0.0
1901-03-29 00:00:00+00:00,0.0
1901-04-05 00:00:00+00:00,1.0
1901-04-12 00:00:00+00:00,0.0
1901-04-19 00:00:00+00:00,0.0
1901-04-26 00:00:00+00:00,0.0
1901-05-03 00:00:00+00:00,0.0
1901-05-10 00:00:00+00:00,0.0
1901-05-17 00:00:00+00:00,1.0
1901-05-24 00:00:00+00:00,1.0
1901-05-31 00:00:00+00:00,0.0
1901-06-07 00:00:00+00:00,0.0
1901-06-14 00:00:00+00:00,1.0
1901-06-21 00:00:00+00:00,1.0
1901-06-28 00:00:00+00:00,0.0
1901-07-05 00:00:00+00:00,0.0
1901-07-12 00:00:00+00:00,0.0
1901-07-19 00:00:00+00:00,0.0
1901-07-26 00:00:00+00:00,1.0
1901-08-02 00:00:00+00:00,0.0
1901-08-09 00:00:00+00:00,3.0
1901-08-16 00:00:00+00:00,0.0
1901-08-23 00:00:00+00:00,0.0
1901-08-30 00:00:00+00:00,0.0
1901-09-06 00:00:00+00:00,0.0
1901-09-13 00:00:00+00:00,0.0
1901-09-20 00:00:00+00:00,0.0
1901-09-27 00:00:00+00:00,0.0
1901-10-04 00:00:00+00:00,1.0
1901-10-11 00:00:00+00:00,0.0
1901-10-18 00:00:00+00:00,0.0
1901-10-25 00:00:00+00:00,0.0
1901-11-01 00:00:00+00:00,0.0
