time,value
1900-01-05 00:00:00+00:00,31622776601.683792
1900-01-08 00:00:00+00:00,0.0
1900-01-11 00:00:00+00:00,31622776601.683792
1900-01-14 00:00:00+00:00,0.0
1900-01-17 00:00:00+00:00,0.0
1900-01-20 00:00:00+00:00,89125093813.3744
1900-01-23 00:00:00+00:00,0.0
1900-01-26 00:00:00+00:00,0.0
1900-01-29 00:00:00+00:00,177827941003.89227
1900-02-01 00:00:00+00:00,0.0
1900-02-04 00:00:00+00:00,0.0
1900-02-07 00:00:00+00:00,0.0
1900-02-10 00:00:00+00:00,0.0
1900-02-13 00:00:00+00:00,0.0
1900-02-16 00:00:00+00:00,0.0
1900-02-19 00:00:00+00:00,0.0
1900-02-22 00:00:00+00:00,0.0
1900-02-25 00:00:00+00:00,0.0
1900-02-28 00:00:00+00:00,0.0
1900-03-03 00:00:00+00:00,0.0
1900-03-06 00:00:00+00:00,0.0
1900-03-09 00:00:00+00:00,0.0
1900-03-12 00:00:00+00:00,0.0
1900-03-15 00:00:00+00:00,0.0
1900-03-18 00:00:00+00:00,0.0
1900-03-21 00:00:00+00:00,0.0
1900-03-24 00:00:00+00:00,0.0
1900-03-27 00:00:00+00:00,0.0
1900-03-30 00:00:00+00:00,0.0
1900-04-02 00:00:00+00:00,0.0
1900-04-05 00:00:00+00:00,0.0
1900-04-08 00:00:00+00:00,0.0
1900-04-11 00:00:00+00:00,0.0
1900-04-14 00:00:00+00:00,0.0
1900-04-17 00:00:00+00:00,0.0
1900-04-20 00:00:00+00:00,0.0
1900-04-23 00:00:00+00:00,0.0
1900-04-26 00:00:00+00:00,0.0
1900-04-29 00:00:00+00:00,5623413.251903491
1900-05-02 00:00:00+00:00,0.0
1900-05-05 00:00:00+00:00,0.0
1900-05-08 00:00:00+00:00,0.0
1900-05-11 00:00:00+00:00,31622776601.683792
1900-05-14 00:00:00+00:00,0.0
1900-05-17 00:00:00+00:00,0.0
1900-05-20 00:00:00+00:00,0.0
1900-05-23 00:00:00+00:00,0.0
1900-05-26 00:00:00+00:00,0.0
1900-05-29 00:00:00+00:00,0.0
1900-06-01 00:00:00+00:00,0.0
1900-06-04 00:00:00+00:00,0.0
1900-06-07 00:00:00+00:00,0.0
1900-06-10 00:00:00+00:00,0.0
1900-06-13 00:00:00+00:00,0.0
1900-06-16 00:00:00+00:00,0.0
1900-06-19 00:00:00+00:00,63095734448.019424
1900-06-22 00:00:00+00:00,0.0
1900-06-25 00:00:00+00:00,0.0
1900-06-28 00:00:00+00:00,0.0
1900-07-01 00:00:00+00:00,0.0
1900-07-04 00:00:00+00:00,0.0
1900-07-07 00:00:00+00:00,0.0
1900-07-10 00:00:00+00:00,0.0
1900-07-13 00:00:00+00:00,0.0
1900-07-16 00:00:00+00:00,0.0
1900-07-19 00:00:00+00:00,0.0
1900-07-22 00:00:00+00:00,0.0
1900-07-25 00:00:00+00:00,0.0
1900-07-28 00:00:00+00:00,251188643150.95718
1900-07-31 00:00:00+00:00,3981071.7055349774
1900-08-03 00:00:00+00:00,0.0
1900-08-06 00:00:00+00:00,0.0
1900-08-09 00:00:00+00:00,0.0
1900-08-12 00:00:00+00:00,0.0
1900-08-15 00:00:00+00:00,0.0
1900-08-18 00:00:00+00:00,0.0
1900-08-21 00:00:00+00:00,0.0
1900-08-24 00:00:00+00:00,0.0
1900-08-27 00:00:00+00:00,0.0
1900-08-30 00:00:00+00:00,0.0
1900-09-02 00:00:00+00:00,0.0
1900-09-05 00:00:00+00:00,0.0
1900-09-08 00:00:00+00:00,0.0
1900-09-11 00:00:00+00:00,0.0
1900-09-14 00:00:00+00:00,0.0
1900-09-17 00:00:00+00:00,44668359215.09616
1900-09-20 00:00:00+00:00,0.0
1900-09-23 00:00:00+00:00,0.0
1900-09-26 00:00:00+00:00,0.0
1900-09-29 00:00:00+00:00,0.0
1900-10-02 00:00:00+00:00,0.0
1900-10-05 00:00:00+00:00,0.0
1900-10-08 00:00:00+00:00,616595001861.4835
1900-10-11 00:00:00+00:00,0.0
1900-10-14 00:00:00+00:00,0.0
1900-10-17 00:00:00+00:00,0.0
1900-10-20 00:00:00+00:00,0.0
1900-10-23 00:00:00+00:00,0.0
1900-10-26 00:00:00+00:00,0.0
1900-10-29 00:00:00+00:00,354813389233.57605
1900-11-01 00:00:00+00:00,0.0
1900-11-04 00:00:00+00:00,0.0
1900-11-07 00:00:00+00:00,31622776601.683792
1900-11-10 00:00:00+00:00,0.0
1900-11-13 00:00:00+00:00,0.0
1900-11-16 00:00:00+00:00,0.0
1900-11-19 00:00:00+00:00,0.0
1900-11-22 00:00:00+00:00,31622776601.683792
1900-11-25 00:00:00+00:00,0.0
1900-11-28 00:00:00+00:00,0.0
1900-12-01 00:00:00+00:00,0.0
1900-12-04 00:00:00+00:00,0.0
1900-12-07 00:00:00+00:00,0.0
1900-12-10 00:00:00+00:00,0.0
1900-12-13 00:00:00+00:00,0.0
1900-12-16 00:00:00+00:00,0.0
1900-12-19 00:00:00+00:00,0.0
1900-12-22 00:00:00+00:00,0.0
1900-12-25 00:00:00+00:00,44668359215.09616
1900-12-28 00:00:00+00:00,0.0
1900-12-31 00:00:00+00:00,0.0
1901-01-03 00:00:00+00:00,0.0
1901-01-06 00:00:00+00:00,63095734448.019424
1901-01-09 00:00:00+00:00,0.0
1901-01-12 00:00:00+00:00,0.0
1901-01-15 00:00:00+00:00,0.0
1901-01-18 00:00:00+00:00,44668359215.09616
1901-01-21 00:00:00+00:00,0.0
1901-01-24 00:00:00+00:00,0.0
1901-01-27 00:00:00+00:00,0.0
1901-01-30 00:00:00+00:00,0.0
1901-02-02 00:00:00+00:00,0.0
1901-02-05 00:00:00+00:00,0.0
1901-02-08 00:00:00+00:00,0.0
1901-02-11 00:00:00+00:00,0.0
1901-02-14 00:00:00+00:00,0.0
